Name,Points,Text,Address,Field1
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Kahvaltı
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Tatlı
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Oturma alanı
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Tuvalet
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Günlük kıyafet
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Rahat
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Gruplar
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Kredi kartı
Yemen Kahvesi,"3,6",(30),"Pınarbaşı, Dumlupınar Bulvarı & Akdeniz Üniversitesi Yakut Çarşısı No: 12, 07070 Konyaaltı/Antalya",Çocuklar için uygun
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Açık hava bölümü
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Paket servisi
